"","ï..fileNumber","fileName","dreamID","nCells","ground","rec","pred","pred_adj"
"44",63,"s21_c4_data",44,32,"(((((1_2110101021:16,2_2110101021:16):43,(3_2110101021:17,4_2110101021:17):42):46,((5_2100101221:22,6_2100101221:22):39,(7_2100101221:20,8_2100101221:20):41):44):48,(((9_0112011012:16,10_0112011012:16):40,(11_0112011012:14,12_0112011012:14):42):49,((13_0112011012:8,14_0112011012:8):44,(15_0112011012:10,16_0112011012:10):42):53):48):45,((((17_2121101100:14,18_2111101201:14):40,(19_0111001221:13,20_0111001221:13):41):47,((21_0122211121:5,22_0122211121:5):48,(23_2212112221:0,24_2212112221:0):53):48):51,(((25_2100101000:21,26_2112111211:21):42,(27_2112111211:15,28_2112111211:15):48):45,((29_0122211221:22,30_0122211111:22):43,(31_1121101111:18,32_1121001111:18):47):43):44):46);","(((25_2100101000:62.5,(18_2111101201:41.66666667,(17_2121101100:20.83333333,31_1121101111:20.83333333)2:20.83333333)2:20.83333333)1:20.83333333,((8_2100101221:50,(7_2100101221:33.33333333,(5_2100101221:16.66666667,6_2100101221:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,(4_2110101021:50,(3_2110101021:33.33333333,(1_2110101021:16.66666667,2_2110101021:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,(((15_0112011012:34.28571429,16_0112011012:34.28571429)1:34.28571429,((11_0112011012:34.28571429,(9_0112011012:17.14285714,10_0112011012:17.14285714)2:17.14285714)1:17.14285714,(14_0112011012:34.28571429,(12_0112011012:17.14285714,13_0112011012:17.14285714)2:17.14285714)2:17.14285714)2:17.14285714)1:17.14285714,(((23_2212112221:26.78571429,24_2212112221:26.78571429)1:26.78571429,(28_2112111211:35.71428571,(26_2112111211:17.85714286,27_2112111211:17.85714286)2:17.85714286)2:17.85714286)1:17.85714286,((30_0122211111:42.85714286,(29_0122211221:28.57142857,(21_0122211121:14.28571429,22_0122211121:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(32_1121001111:38.0952381,(19_0111001221:19.04761905,20_0111001221:19.04761905)2:19.04761905)2:19.04761905)2:14.28571429)2:14.28571429)2:14.28571429)Root;","(((16_0112011012:0,(15_0112011012:0,(14_0112011012:0,(13_0112011012:0,(12_0112011012:0,(11_0112011012:0,(9_0112011012:0,10_0112011012:0):0):0):0):0):0):0):3.54,(30_0122211111:0.8466666667,(29_0122211221:0.635,(21_0122211121:0,22_0122211121:0):0.635):0.2116666667):2.693333333):1.069333333,((17_2121101100:1.885,(31_1121101111:0.5,32_1121001111:0.5):1.385):1.694803922,(((23_2212112221:0,24_2212112221:0):2.31375,(18_2111101201:1.635,(28_2112111211:0,(26_2112111211:0,27_2112111211:0):0):1.635):0.67875):1.068143939,((19_0111001221:0,20_0111001221:0):3.225,(25_2100101000:2.4525,((4_2110101021:0,(3_2110101021:0,(1_2110101021:0,2_2110101021:0):0):0):1.635,(8_2100101221:0,(7_2100101221:0,(5_2100101221:0,6_2100101221:0):0):0):1.635):0.8175):0.7725):0.1568939394):0.1979099822):1.029529412);","((23_2212112221:0,24_2212112221:0):65.62716577,(((17_2121101100:17.84648076,25_2100101000:17.84648076):11.62156979,(((19_0111001221:0,20_0111001221:0):21.03909152,(31_1121101111:4.8607595,32_1121001111:4.8607595):16.17833202):5.804991185,(((4_2110101021:0,(3_2110101021:0,(1_2110101021:0,2_2110101021:0):0):0):12.12557844,(8_2100101221:0,(7_2100101221:0,(5_2100101221:0,6_2100101221:0):0):0):12.12557844):9.946412589,(18_2111101201:13.61819499,(28_2112111211:0,(26_2112111211:0,27_2112111211:0):0):13.61819499):8.453796044):4.772091682):2.623967841):12.90929363,((16_0112011012:0,(15_0112011012:0,(14_0112011012:0,(13_0112011012:0,(12_0112011012:0,(11_0112011012:0,(9_0112011012:0,10_0112011012:0):0):0):0):0):0):0):34.37582324,(29_0122211221:5.27865213,(30_0122211111:3.69454557,(21_0122211121:0,22_0122211121:0):3.69454557):1.58410656):29.09717111):8.001520934):23.2498216);"
"45",64,"s21_c5_data",45,13,"(((1_2111101221:44,2_1112211000:44):101,((3_0110101001:50,4_1110001021:50):52,5_2100101000:101):43):50,((((7_1111001201:24,8_1111001221:24):40,(9_1111001221:25,10_1111001221:25):39):46,(11_2112111221:71,(13_1111001221:26,14_1111001201:26):45):39):45,22_2100101000:155):39);","(((1_2111101221:42.85714286,11_2112111221:42.85714286)1:42.85714286,((7_1111001201:35.71428571,14_1111001201:35.71428571)1:35.71428571,(4_1110001021:57.14285714,(13_1111001221:42.85714286,(10_1111001221:28.57142857,(8_1111001221:14.28571429,9_1111001221:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(2_1112211000:75,(3_0110101001:50,(5_2100101000:25,22_2100101000:25)2:25)2:25)2:25)Root;","((11_2112111221:2.61625,(4_1110001021:2.121428571,((7_1111001201:0,14_1111001201:0):1.362,(1_2111101221:1.135,(13_1111001221:0,(10_1111001221:0,(8_1111001221:0,9_1111001221:0):0):0):1.135):0.227):0.7594285714):0.4948214286):1.584583333,(2_1112211000:3.36,(3_0110101001:2.135,(5_2100101000:0,22_2100101000:0):2.135):1.225):0.8408333333);","(((1_2111101221:10.70910399,11_2112111221:10.70910399):8.845578518,(4_1110001021:12.99062663,((7_1111001201:0,14_1111001201:0):6.60363657,(13_1111001221:0,(10_1111001221:0,(8_1111001221:0,9_1111001221:0):0):0):6.60363657):6.38699006):6.564055873):15.64195247,(2_1112211000:31.85800074,(3_0110101001:23.45753778,(5_2100101000:0,22_2100101000:0):23.45753778):8.400462955):3.338634235);"
"46",65,"s3_c1_data",46,10,"((4_0120111100:92,(5_1120111100:42,7_1120111101:41):51):99,(((8_1101001201:1,9_1111001201:1):91,(13_0111011101:49,14_0111011001:49):43):53,(16_2102011221:81,(18_2102011221:20,19_2102011221:20):61):65):46);","(((7_1120111101:50,(4_0120111100:25,5_1120111100:25)2:25)1:25,((8_1101001201:25,9_1111001201:25)1:25,(13_0111011101:25,14_0111011001:25)2:25)2:25)1:25,(19_2102011221:66.66666667,(16_2102011221:33.33333333,18_2102011221:33.33333333)2:33.33333333)2:33.33333333)Root;","((19_2102011221:0,(16_2102011221:0,18_2102011221:0):0):4.559285714,((7_1120111101:0.75,(4_0120111100:0.5,5_1120111100:0.5):0.25):2.285833333,((8_1101001201:0.5,9_1111001201:0.5):1.635,(13_0111011101:0.5,14_0111011001:0.5):1.635):0.9008333333):1.523452381);","((7_1120111101:10.32727275,(4_0120111100:4.6545455,5_1120111100:4.6545455):5.67272725):26.83934688,((19_2102011221:0,(16_2102011221:0,18_2102011221:0):0):28.94355044,((13_0111011101:3.186722,14_0111011001:3.186722):15.74772969,(8_1101001201:4.8917195,9_1111001201:4.8917195):14.04273219):10.00909875):8.223069195);"
"47",66,"s3_c3_data",47,10,"(((1_1112001011:28,2_1112111211:28):50,(3_0112111211:27,4_1112111211:27):51):58,(((5_2110211021:10,6_2110211021:10):35,(7_2110211021:8,8_2110211021:8):37):42,(9_1111212021:38,10_1111212121:38):50):48);","((1_1112001011:75,(3_0112111211:50,(2_1112111211:25,4_1112111211:25)2:25)2:25)1:25,((8_2110211021:60,(7_2110211021:40,(5_2110211021:20,6_2110211021:20)2:20)2:20)1:20,(9_1111212021:40,10_1111212121:40)2:40)2:20)Root;","(((8_2110211021:0,(7_2110211021:0,(5_2110211021:0,6_2110211021:0):0):0):2.02,(9_1111212021:0.5,10_1111212121:0.5):1.52):2.037916667,(1_1112001011:2.301666667,(3_0112111211:0.5,(2_1112111211:0,4_1112111211:0):0.5):1.801666667):1.75625);","((1_1112001011:19.83968211,(3_0112111211:4.6545455,(2_1112111211:0,4_1112111211:0):4.6545455):15.18513661):14.05729283,((8_2110211021:0,(7_2110211021:0,(5_2110211021:0,6_2110211021:0):0):0):23.40651842,(9_1111212021:3.186722,10_1111212121:3.186722):20.21979642):10.49045652);"
"48",67,"s3_c5_data",48,10,"((((1_0201000201:28,2_0101000000:28):60,(3_0201010201:30,4_0201010201:30):58):59,(5_2122211021:27,6_2202011221:27):120):49,((7_0112210021:6,8_0112211021:6):65,(9_0100011021:13,10_0112011021:13):58):125);","((6_2202011221:80,(2_0101000000:60,(1_0201000201:40,(3_0201010201:20,4_0201010201:20)2:20)2:20)2:20)1:20,((9_0100011021:37.5,10_0112011021:37.5)1:37.5,(5_2122211021:50,(7_0112210021:25,8_0112211021:25)2:25)2:25)2:25)Root;","((2_0101000000:2.603333333,(1_0201000201:0.5,(3_0201010201:0,4_0201010201:0):0.5):2.103333333):2.500833333,(6_2202011221:4.213,(9_0100011021:3.05375,(5_2122211021:2.315,(10_0112011021:1.385,(7_0112210021:0.5,8_0112211021:0.5):0.885):0.93):0.73875):1.15925):0.8911666667);","((6_2202011221:33.47104551,(1_0201000201:6.1935485,(3_0201010201:0,4_0201010201:0):6.1935485):27.27749701):30.88943531,(2_0101000000:46.78734621,((9_0100011021:12.96283049,10_0112011021:12.96283049):13.38578251,(5_2122211021:21.63906155,(7_0112210021:9.721519,8_0112211021:9.721519):11.91754255):4.709551441):20.43873322):17.57313461);"
"49",68,"s4_c1_data",49,8,"(((9_2121212001:6,10_2121212001:6):46,(11_2121211201:11,12_2121211201:11):41):50,((13_2122111221:11,14_2122111221:11):43,(15_2122111221:11,16_2122111221:11):43):48);","(((9_2121212001:0.2878644867,10_2121212001:0.2878644867):0.1674830733,(11_2121211201:0.2903423032,12_2121211201:0.2903423032):0.1650052568):0.2321689063,(13_2122111221:0.2900053435,(14_2122111221:0.2900053435,(15_2122111221:0.2900053435,16_2122111221:0.2900053435):0):0):0.3975111228);","((16_2122111221:0,(15_2122111221:0,(13_2122111221:0,14_2122111221:0):0):0):3.29,((9_2121212001:0,10_2121212001:0):1.77,(11_2121211201:0,12_2121211201:0):1.77):1.52);","((9_2121212001:0,10_2121212001:0):31.10842582,((11_2121211201:0,12_2121211201:0):17.29235662,(16_2122111221:0,(15_2122111221:0,(13_2122111221:0,14_2122111221:0):0):0):17.29235662):13.8160692);"
"50",69,"s4_c10_data",50,12,"((4_1111111111:43,(5_1111111111:2,6_1111111111:2):41):137,(((7_1111111001:8,8_1111111111:8):75,10_1111111111:83):48,(((14_2111111111:2,15_2111111111:2):39,16_2111111111:41):42,((18_2111111111:0,19_2111111111:0):37,21_2111111111:37):46):48):49);","(((21_2111111111:71.42857143,(19_2111111111:57.14285714,(18_2111111111:42.85714286,(16_2111111111:28.57142857,(14_2111111111:14.28571429,15_2111111111:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(10_1111111111:68.57142857,(8_1111111111:51.42857143,(6_1111111111:34.28571429,(4_1111111111:17.14285714,5_1111111111:17.14285714)2:17.14285714)2:17.14285714)2:17.14285714)2:17.14285714)1:14.28571429,7_1111111001:100)Root;","(7_1111111001:1.346363636,((10_1111111111:0,(8_1111111111:0,(6_1111111111:0,(4_1111111111:0,5_1111111111:0):0):0):0):0.635,(21_2111111111:0,(19_2111111111:0,(18_2111111111:0,(16_2111111111:0,(14_2111111111:0,15_2111111111:0):0):0):0):0):0.635):0.7113636364);","(7_1111111001:9.32014361,((10_1111111111:0,(8_1111111111:0,(6_1111111111:0,(4_1111111111:0,5_1111111111:0):0):0):0):5.911272785,(21_2111111111:0,(19_2111111111:0,(18_2111111111:0,(16_2111111111:0,(14_2111111111:0,15_2111111111:0):0):0):0):0):5.911272785):3.408870825);"
"51",70,"s4_c3_data",51,14,"((((9_2112012221:1,10_2112012221:1):57,(11_2112212221:8,12_2112212221:8):50):66,((13_1122012001:1,14_1122012001:1):55,15_0122012201:57):68):87,((16_0122012000:54,(17_0122012000:0,18_0122012000:0):53):64,((19_2112212211:9,20_2112212211:9):50,(21_2112202201:13,22_2112212211:13):46):58):94);","(((9_2112012221:41.66666667,10_2112012221:41.66666667)1:41.66666667,(21_2112202201:66.66666667,((11_2112212221:25,12_2112212221:25)1:25,(22_2112212211:33.33333333,(19_2112212211:16.66666667,20_2112212211:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((18_0122012000:50,(16_0122012000:25,17_0122012000:25)2:25)1:25,(15_0122012201:50,(13_1122012001:25,14_1122012001:25)2:25)2:25)2:25)Root;","((15_0122012201:1.635,((13_1122012001:0,14_1122012001:0):1,(18_0122012000:0,(16_0122012000:0,17_0122012000:0):0):1):0.635):2.832916667,((9_2112012221:0,10_2112012221:0):1.725,(21_2112202201:1.254,((11_2112212221:0,12_2112212221:0):0.635,(22_2112212211:0,(19_2112212211:0,20_2112212211:0):0):0.635):0.619):0.471):2.742916667);","(((18_0122012000:0,(16_0122012000:0,17_0122012000:0):0):13.51431665,(15_0122012201:11.88840444,(13_1122012001:0,14_1122012001:0):11.88840444):1.625912207):25.18305004,((9_2112012221:0,10_2112012221:0):15.01406103,(21_2112202201:10.58045773,((11_2112212221:0,12_2112212221:0):3.69454557,(22_2112212211:0,(19_2112212211:0,20_2112212211:0):0):3.69454557):6.885912158):4.4336033):23.68330566);"
"52",71,"s4_c4_data",52,5,"((3_1111111011:18,4_1111111111:18):109,((5_2111111211:20,6_2111111211:20):44,7_2111111121:64):63);","((3_1111111011:0.3697175289,4_1111111111:0.3697175289):0.1268464038,((5_2111111211:0.305932684,6_2111111211:0.305932684):0.1325650894,7_2111111121:0.4384977735):0.05806615929);","((3_1111111011:0.5,4_1111111111:0.5):1.02,(7_2111111121:1.27,(5_2111111211:0,6_2111111211:0):1.27):0.25);","((3_1111111011:3.186722,4_1111111111:3.186722):8.247518268,(7_2111111121:7.74168251,(5_2111111211:0,6_2111111211:0):7.74168251):3.692557758);"
"53",74,"s4_c7_data",53,4,"((1_1111111111:26,2_1111111111:26):153,(10_1111111111:49,11_1111111001:49):131);","((1_1111111111:0.3125,(2_1111111111:0.3125,10_1111111111:0.3125):0):0.1210256504,11_1111111001:0.4335256504);","(11_1111111001:1,(10_1111111111:0,(1_1111111111:0,2_1111111111:0):0):1);","(11_1111111001:6.095813,(10_1111111111:0,(1_1111111111:0,2_1111111111:0):0):6.095813);"
"54",75,"s5_c1_data",54,9,"((1_0111111111:110,((3_1110111101:23,4_1111211101:23):39,(5_1111111101:18,6_1111111101:18):44):48):53,((7_2112211201:15,8_2112111121:15):40,(9_2110011000:9,10_2110011000:9):46):108);","(((1_0111111111:0.4905527259,(3_1110111101:0.4319285848,(4_1111211101:0.3710043078,(5_1111111101:0.3085834101,6_1111111101:0.3085834101):0.06242089774):0.06092427695):0.05862414114):0.2170897393,(9_2110011000:0.2892944704,10_2110011000:0.2892944704):0.4183479948):0.04332546735,(7_2112211201:0.583437833,8_2112111121:0.583437833):0.1675300995);","((9_2110011000:0,10_2110011000:0):3.140714286,((1_0111111111:1.28375,(4_1111211101:0.8016666667,(3_1110111101:0.5,(5_1111111101:0,6_1111111101:0):0.5):0.3016666667):0.4820833333):1.38875,(7_2112211201:2.405,8_2112111121:2.405):0.2675):0.4682142857);","((9_2110011000:0,10_2110011000:0):28.97341679,((1_0111111111:9.995816516,(4_1111211101:7.358349732,(3_1110111101:3.5555555,(5_1111111101:0,6_1111111101:0):3.5555555):3.802794232):2.637466785):10.48500099,(7_2112211201:16.82393808,8_2112111121:16.82393808):3.656879433):8.492599283);"
"55",76,"s5_c10_data",55,26,"(((((1_0000000221:10,2_0000000221:10):42,(3_0000000221:10,4_0000000221:10):42):47,(5_0000010021:7,6_0000010021:7):92):56,((13_0112211221:24,14_0112211221:24):46,(15_0112212221:15,16_0112212221:15):55):85):50,((((17_2112011221:31,18_2112011221:31):45,(19_2112011221:30,20_2112011221:30):46):44,((21_2112011221:32,22_2112011221:32):44,(23_2112011221:32,24_2112011221:32):44):44):38,(((25_2112210000:21,26_2112000201:21):44,(27_2112211201:20,28_2112211201:20):45):50,((29_2000212000:22,30_2000212000:22):44,(31_2000212021:21,32_2000212021:21):45):49):43):47);","((((5_0000010021:33.33333333,6_0000010021:33.33333333)1:33.33333333,(4_0000000221:50,(3_0000000221:33.33333333,(1_0000000221:16.66666667,2_0000000221:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,(25_2112210000:62.5,((29_2000212000:20.83333333,30_2000212000:20.83333333)1:20.83333333,(31_2000212021:20.83333333,32_2000212021:20.83333333)2:20.83333333)2:20.83333333)2:20.83333333)1:16.66666667,(((15_0112212221:30,16_0112212221:30)1:30,(13_0112211221:30,14_0112211221:30)2:30)1:30,((24_2112011221:70,(23_2112011221:60,(22_2112011221:50,(21_2112011221:40,(20_2112011221:30,(19_2112011221:20,(17_2112011221:10,18_2112011221:10)2:10)2:10)2:10)2:10)2:10)2:10)1:10,(26_2112000201:53.33333333,(27_2112211201:26.66666667,28_2112211201:26.66666667)2:26.66666667)2:26.66666667)2:10)2:10)Root;","(((29_2000212000:0,30_2000212000:0):1.635,(31_2000212021:0,32_2000212021:0):1.635):3.877954545,(((4_0000000221:0,(3_0000000221:0,(1_0000000221:0,2_0000000221:0):0):0):1.635,(5_0000010021:0,6_0000010021:0):1.635):3.404583333,((25_2112210000:2.135,(27_2112211201:0,28_2112211201:0):2.135):0.9083333333,(((13_0112211221:0,14_0112211221:0):0.635,(15_0112212221:0,16_0112212221:0):0.635):2.189722222,(26_2112000201:2.135,(24_2112011221:0,(23_2112011221:0,(22_2112011221:0,(21_2112011221:0,(20_2112011221:0,(19_2112011221:0,(17_2112011221:0,18_2112011221:0):0):0):0):0):0):0):2.135):0.6897222222):0.2186111111):1.99625):0.4733712121);","((25_2112210000:41.08717236,(((13_0112211221:0,14_0112211221:0):12.34632913,(15_0112212221:0,16_0112212221:0):12.34632913):16.66822588,(26_2112000201:23.40476157,((24_2112011221:0,(23_2112011221:0,(22_2112011221:0,(21_2112011221:0,(20_2112011221:0,(19_2112011221:0,(17_2112011221:0,18_2112011221:0):0):0):0):0):0):0):17.63756063,(27_2112211201:0,28_2112211201:0):17.63756063):5.767200934):5.609793444):12.07261735):26.25229665,(((4_0000000221:0,(3_0000000221:0,(1_0000000221:0,2_0000000221:0):0):0):13.42740744,(5_0000010021:0,6_0000010021:0):13.42740744):46.49360628,((29_2000212000:0,30_2000212000:0):14.60363657,(31_2000212021:0,32_2000212021:0):14.60363657):45.31737715):7.418455287);"
"56",77,"s5_c11_data",56,8,"(((1_0222000000:20,2_0222000000:20):41,(3_0222000000:19,4_0222000000:19):42):39,((5_0112000000:13,6_0112000000:13):40,(7_0122000000:10,8_0122000000:10):43):47);","(((1_0222000000:0.2813693707,(2_0222000000:0.2813693707,(3_0222000000:0.2813693707,4_0222000000:0.2813693707):0):0):0.05052836498,(7_0122000000:0.2835245242,8_0122000000:0.2835245242):0.04837321142):0.04745657981,(5_0112000000:0.2859696642,6_0112000000:0.2859696642):0.09338465124);","((5_0112000000:0,6_0112000000:0):1.058333333,((4_0222000000:0,(3_0222000000:0,(1_0222000000:0,2_0222000000:0):0):0):0.635,(7_0122000000:0,8_0122000000:0):0.635):0.4233333333);","((4_0222000000:0,(3_0222000000:0,(1_0222000000:0,2_0222000000:0):0):0):30.19957543,((5_0112000000:0,6_0112000000:0):6.212483765,(7_0122000000:0,8_0122000000:0):6.212483765):23.98709166);"
"57",78,"s5_c12_data",57,27,"(((1_0122210221:8,2_0122210221:8):43,(3_0212210221:2,4_0212210221:2):49):160,(((((5_2102120202:11,6_2102120202:11):38,(7_2102120202:10,8_2102120202:10):39):40,(9_2102000000:52,12_2202000000:52):37):38,(((13_2102212202:10,14_2102212202:10):34,(15_2102212101:2,16_2102212101:2):42):40,(17_2102210101:45,(19_2102210101:6,20_2102210101:6):39):39):43):42,(((21_2100001201:39,22_2100001201:39):45,(23_0100001201:35,24_1100001201:35):49):43,(((25_2100002001:6,26_2100002001:6):36,(27_2100002001:2,28_2100002001:2):40):39,(29_2100002001:37,30_2100002001:37):45):45):43):41);","(((3_0212210221:33.33333333,4_0212210221:33.33333333)1:33.33333333,(1_0122210221:33.33333333,2_0122210221:33.33333333)2:33.33333333)1:33.33333333,(((8_2102120202:53.33333333,(7_2102120202:35.55555556,(5_2102120202:17.77777778,6_2102120202:17.77777778)2:17.77777778)2:17.77777778)1:17.77777778,((20_2102210101:35.55555556,(17_2102210101:17.77777778,19_2102210101:17.77777778)2:17.77777778)1:17.77777778,((13_2102212202:17.77777778,14_2102212202:17.77777778)1:17.77777778,(15_2102212101:17.77777778,16_2102212101:17.77777778)2:17.77777778)2:17.77777778)2:17.77777778)1:17.77777778,(((21_2100001201:25.92592593,22_2100001201:25.92592593)1:25.92592593,(24_1100001201:25.92592593,23_0100001201:25.92592593)2:25.92592593)1:25.92592593,((30_2100002001:55.55555556,(29_2100002001:44.44444444,(28_2100002001:33.33333333,(27_2100002001:22.22222222,(25_2100002001:11.11111111,26_2100002001:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)1:11.11111111,(9_2102000000:33.33333333,12_2202000000:33.33333333)2:33.33333333)2:11.11111111)2:11.11111111)2:11.11111111)Root;","(((1_0122210221:0,2_0122210221:0):1.27,(3_0212210221:0,4_0212210221:0):1.27):4.947826087,(((8_2102120202:0,(7_2102120202:0,(5_2102120202:0,6_2102120202:0):0):0):2.825714286,((13_2102212202:0,14_2102212202:0):1.951,((15_2102212101:0,16_2102212101:0):1.135,(20_2102210101:0,(17_2102210101:0,19_2102210101:0):0):1.135):0.816):0.8747142857):1.658641775,((9_2102000000:0.635,12_2202000000:0.635):2.8295,((30_2100002001:0,(29_2100002001:0,(28_2100002001:0,(27_2100002001:0,(25_2100002001:0,26_2100002001:0):0):0):0):0):2.2125,((21_2100001201:0,22_2100001201:0):0.885,(23_0100001201:0.5,24_1100001201:0.5):0.385):1.3275):1.252):1.019856061):1.733470026);","(((1_0122210221:0,2_0122210221:0):33.30581731,(3_0212210221:0,4_0212210221:0):33.30581731):37.6582956,((9_2102000000:27.09333354,12_2202000000:27.09333354):27.89417723,(((30_2100002001:0,(29_2100002001:0,(28_2100002001:0,(27_2100002001:0,(25_2100002001:0,26_2100002001:0):0):0):0):0):23.69946084,((21_2100001201:0,22_2100001201:0):8.238545535,(23_0100001201:4.6545455,24_1100001201:4.6545455):3.584000035):15.4609153):26.07285383,(((13_2102212202:0,14_2102212202:0):14.20713694,(15_2102212101:0,16_2102212101:0):14.20713694):22.98654889,((8_2102120202:0,(7_2102120202:0,(5_2102120202:0,6_2102120202:0):0):0):28.2461081,(20_2102210101:0,(17_2102210101:0,19_2102210101:0):0):28.2461081):8.947577734):12.57862884):5.215196101):15.97660214);"
"58",79,"s5_c13_data",58,8,"(1_2112211101:212,(((2_2112001211:6,7_2112001211:6):89,(8_1111111101:6,13_1111111111:6):89):54,(14_1112111111:50,(15_1111111111:7,16_1111111111:7):43):99):62);","((1_2112211101:0.5447283585,(8_1111111101:0.4288803684,((13_1111111111:0.3125,(15_1111111111:0.3125,16_1111111111:0.3125):0):0.0544371119,14_1112111111:0.3669371119):0.06194325647):0.1158479901):0.1181833756,(2_2112001211:0.2978257449,7_2112001211:0.2978257449):0.3650859892);","((2_2112001211:0,7_2112001211:0):2.86,(1_2112211101:2.178,(14_1112111111:0.76,(8_1111111101:0.5,(16_1111111111:0,(13_1111111111:0,15_1111111111:0):0):0.5):0.26):1.418):0.682);","((2_2112001211:0,7_2112001211:0):25.03643368,(1_2112211101:18.02415454,(14_1112111111:5.242828235,(8_1111111101:2.909091,(16_1111111111:0,(13_1111111111:0,15_1111111111:0):0):2.909091):2.333737235):12.7813263):7.01227914);"
"59",80,"s5_c2_data",59,12,"((((1_1111111111:21,2_1111111111:21):43,(3_1111111211:22,4_1111111211:22):42):56,((5_1111111211:26,6_1111111211:26):42,7_1111111211:68):52):47,((9_1011111011:22,10_1111111011:22):98,((13_1111111111:28,14_1111111111:28):36,15_1111111111:64):56):47);","(((7_1111111211:66.66666667,(6_1111111211:50,(5_1111111211:33.33333333,(3_1111111211:16.66666667,4_1111111211:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,(15_1111111111:66.66666667,(14_1111111111:50,(13_1111111111:33.33333333,(1_1111111111:16.66666667,2_1111111111:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,(9_1011111011:50,10_1111111011:50)2:50)Root;","(9_1011111011:1.243181818,((7_1111111211:0,(6_1111111211:0,(5_1111111211:0,(3_1111111211:0,4_1111111211:0):0):0):0):0.7183333333,(10_1111111011:0.5,(15_1111111111:0,(14_1111111111:0,(13_1111111111:0,(1_1111111111:0,2_1111111111:0):0):0):0):0.5):0.2183333333):0.5248484848);","(9_1011111011:26.0699612,((7_1111111211:0,(6_1111111211:0,(5_1111111211:0,(3_1111111211:0,4_1111111211:0):0):0):0):4.578257273,(10_1111111011:3.186722,(15_1111111111:0,(14_1111111111:0,(13_1111111111:0,(1_1111111111:0,2_1111111111:0):0):0):0):3.186722):1.391535273):21.49170393);"
