fileNumber,fileName,dreamID,nCells,ground,rec
54,s20_c1_data,36,9,"((((1_1110002211:5,2_1110001211:5):35,(3_1110001211:5,4_2102101000:5):35):37,7_1111001201:78):32,((8_1110201201:25,9_1110201201:25):42,(10_1110001201:30,11_2100101001:30):37):43);","((((1_1110002211:0.3551133538,(2_1110001211:0.2991828152,3_1110001211:0.2991828152):0.05593053859):0.109006724,(7_1111001201:0.359024485,10_1110001201:0.359024485):0.1050955928):0.04967164266,(8_1110201201:0.2929712708,9_1110201201:0.2929712708):0.2208204497):0.2876148314,(4_2102101000:0.4688740321,11_2100101001:0.4688740321):0.3325325198);"
55,s20_c2_data,37,19,"(((1_1111001011:108,((3_1111001011:3,4_1111001011:3):52,5_1111001011:56):52):46,(((6_1111101011:8,7_1111011011:8):51,(8_1111101011:6,9_1111001011:6):53):48,(11_1111001011:59,(12_1111001011:14,13_1111001011:14):45):48):46):42,(((14_1112011011:35,15_1111101011:35):49,(16_1111001011:38,17_1111001011:38):46):56,((18_1111001011:36,19_1111101011:36):52,(20_2101101001:40,21_1111001011:40):48):52):56);","(((19_1111101011:66.66666667,(15_1111101011:44.44444444,(6_1111101011:22.22222222,8_1111101011:22.22222222)2:22.22222222)2:22.22222222)1:22.22222222,(((18_1111001011:33.33333333,21_1111001011:33.33333333)1:33.33333333,((16_1111001011:27.77777778,17_1111001011:27.77777778)1:27.77777778,((12_1111001011:22.22222222,13_1111001011:22.22222222)1:22.22222222,((9_1111001011:16.66666667,11_1111001011:16.66666667)1:16.66666667,((1_1111001011:11.11111111,3_1111001011:11.11111111)1:11.11111111,(4_1111001011:11.11111111,5_1111001011:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)1:11.11111111,(7_1111011011:38.88888889,14_1112011011:38.88888889)2:38.88888889)2:11.11111111)1:11.11111111,20_2101101001:100)Root;"
56,s20_c3_data,38,8,"(((1_2100101000:14,2_0100001000:14):69,(3_2102111000:22,4_2100101020:22):61):52,((5_2112111201:31,6_1112011201:31):54,(7_2122111221:33,8_2112111221:33):52):50);","((((1_2100101000:0.3933871743,4_2100101020:0.3933871743):0.1419196932,2_0100001000:0.5353068675):0.06554648529,3_2102111000:0.6008533527):0.4097820564,((5_2112111201:0.4396946618,6_1112011201:0.4396946618):0.1949636127,(7_2122111221:0.3754709967,8_2112111221:0.3754709967):0.2591872778):0.3759771346);"
57,s20_c4_data,39,10,"(((1_1112211001:36,2_1112211001:36):66,(3_0122211101:22,4_0122211101:22):80):52,(((5_2100101000:16,6_2100101000:16):48,(7_2100101000:18,8_2100101000:18):46):44,(9_2100101000:11,10_2100101000:11):97):45);","(((3_0122211101:33.33333333,4_0122211101:33.33333333)1:33.33333333,(1_1112211001:33.33333333,2_1112211001:33.33333333)2:33.33333333)1:33.33333333,(10_2100101000:83.33333333,(9_2100101000:66.66666667,(8_2100101000:50,(7_2100101000:33.33333333,(5_2100101000:16.66666667,6_2100101000:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)Root;"
58,s20_c5_data,40,14,"((1_2000100000:187,(((2_2202112221:38,3_2202112221:38):50,4_2202112221:88):54,(5_0122211221:85,6_2122111221:85):58):44):25,((7_0102212101:142,((8_2112111221:34,9_2102111200:34):51,10_2212111221:86):56):42,((11_0122011221:24,12_0112011221:24):60,(13_0110001201:23,14_0110001201:23):61):99):28);","(((13_0110001201:37.5,14_0110001201:37.5)1:37.5,(1_2000100000:50,(7_0102212101:25,9_2102111200:25)2:25)2:25)1:25,((5_0122211221:53.33333333,(11_0122011221:26.66666667,12_0112011221:26.66666667)2:26.66666667)1:26.66666667,((4_2202112221:40,(2_2202112221:20,3_2202112221:20)2:20)1:20,(10_2212111221:40,(6_2122111221:20,8_2112111221:20)2:20)2:20)2:20)2:20)Root;"
59,s20_c6_data,41,12,"((((1_0222010100:14,2_0122011100:14):44,(3_0112211200:5,4_0112011200:5):53):107,((8_2101101001:49,9_2111101011:49):61,(10_1111101011:58,11_1111201001:58):52):56):45,((12_1222010102:39,13_1202010002:39):127,(16_0112011200:124,19_2112111221:124):42):44);","(((12_1222010102:40,13_1202010002:40)1:40,((1_0222010100:30,2_0122011100:30)1:30,(3_0112211200:40,(4_0112011200:20,16_0112011200:20)2:20)2:20)2:20)1:20,(19_2112111221:80,(11_1111201001:60,(8_2101101001:40,(9_2111101011:20,10_1111101011:20)2:20)2:20)2:20)2:20)Root;"
60,s20_c7_data,42,3,"(1_2100101021:212,(4_0110201221:38,5_2100101000:38):173);","((1_2100101021:0.4645307136,5_2100101000:0.4645307136):0.3268914284,4_0110201221:0.791422142);"
61,s21_c1_data,43,13,"((((1_0000000021:34,2_0000000021:34):60,(3_0000000021:43,4_0000000021:43):51):58,(5_2100101000:84,(7_2100101001:31,8_2100001001:31):53):68):43,(((9_2100101000:38,10_2100101000:38):45,(11_0100001000:31,12_2100101000:31):52):71,(13_2100101000:14,14_0100001000:14):140):41);","((4_0000000021:75,(3_0000000021:50,(1_0000000021:25,2_0000000021:25)2:25)2:25)1:25,((11_0100001000:42.85714286,14_0100001000:42.85714286)1:42.85714286,((13_2100101000:57.14285714,(12_2100101000:42.85714286,(10_2100101000:28.57142857,(5_2100101000:14.28571429,9_2100101000:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(7_2100101001:35.71428571,8_2100001001:35.71428571)2:35.71428571)2:14.28571429)2:14.28571429)Root;"
63,s21_c4_data,44,32,"(((((1_2110101021:16,2_2110101021:16):43,(3_2110101021:17,4_2110101021:17):42):46,((5_2100101221:22,6_2100101221:22):39,(7_2100101221:20,8_2100101221:20):41):44):48,(((9_0112011012:16,10_0112011012:16):40,(11_0112011012:14,12_0112011012:14):42):49,((13_0112011012:8,14_0112011012:8):44,(15_0112011012:10,16_0112011012:10):42):53):48):45,((((17_2121101100:14,18_2111101201:14):40,(19_0111001221:13,20_0111001221:13):41):47,((21_0122211121:5,22_0122211121:5):48,(23_2212112221:0,24_2212112221:0):53):48):51,(((25_2100101000:21,26_2112111211:21):42,(27_2112111211:15,28_2112111211:15):48):45,((29_0122211221:22,30_0122211111:22):43,(31_1121101111:18,32_1121001111:18):47):43):44):46);","(((25_2100101000:62.5,(18_2111101201:41.66666667,(17_2121101100:20.83333333,31_1121101111:20.83333333)2:20.83333333)2:20.83333333)1:20.83333333,((8_2100101221:50,(7_2100101221:33.33333333,(5_2100101221:16.66666667,6_2100101221:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,(4_2110101021:50,(3_2110101021:33.33333333,(1_2110101021:16.66666667,2_2110101021:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,(((15_0112011012:34.28571429,16_0112011012:34.28571429)1:34.28571429,((11_0112011012:34.28571429,(9_0112011012:17.14285714,10_0112011012:17.14285714)2:17.14285714)1:17.14285714,(14_0112011012:34.28571429,(12_0112011012:17.14285714,13_0112011012:17.14285714)2:17.14285714)2:17.14285714)2:17.14285714)1:17.14285714,(((23_2212112221:26.78571429,24_2212112221:26.78571429)1:26.78571429,(28_2112111211:35.71428571,(26_2112111211:17.85714286,27_2112111211:17.85714286)2:17.85714286)2:17.85714286)1:17.85714286,((30_0122211111:42.85714286,(29_0122211221:28.57142857,(21_0122211121:14.28571429,22_0122211121:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(32_1121001111:38.0952381,(19_0111001221:19.04761905,20_0111001221:19.04761905)2:19.04761905)2:19.04761905)2:14.28571429)2:14.28571429)2:14.28571429)Root;"
64,s21_c5_data,45,13,"(((1_2111101221:44,2_1112211000:44):101,((3_0110101001:50,4_1110001021:50):52,5_2100101000:101):43):50,((((7_1111001201:24,8_1111001221:24):40,(9_1111001221:25,10_1111001221:25):39):46,(11_2112111221:71,(13_1111001221:26,14_1111001201:26):45):39):45,22_2100101000:155):39);","(((1_2111101221:42.85714286,11_2112111221:42.85714286)1:42.85714286,((7_1111001201:35.71428571,14_1111001201:35.71428571)1:35.71428571,(4_1110001021:57.14285714,(13_1111001221:42.85714286,(10_1111001221:28.57142857,(8_1111001221:14.28571429,9_1111001221:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(2_1112211000:75,(3_0110101001:50,(5_2100101000:25,22_2100101000:25)2:25)2:25)2:25)Root;"
65,s3_c1_data,46,10,"((4_0120111100:92,(5_1120111100:42,7_1120111101:41):51):99,(((8_1101001201:1,9_1111001201:1):91,(13_0111011101:49,14_0111011001:49):43):53,(16_2102011221:81,(18_2102011221:20,19_2102011221:20):61):65):46);","(((7_1120111101:50,(4_0120111100:25,5_1120111100:25)2:25)1:25,((8_1101001201:25,9_1111001201:25)1:25,(13_0111011101:25,14_0111011001:25)2:25)2:25)1:25,(19_2102011221:66.66666667,(16_2102011221:33.33333333,18_2102011221:33.33333333)2:33.33333333)2:33.33333333)Root;"
66,s3_c3_data,47,10,"(((1_1112001011:28,2_1112111211:28):50,(3_0112111211:27,4_1112111211:27):51):58,(((5_2110211021:10,6_2110211021:10):35,(7_2110211021:8,8_2110211021:8):37):42,(9_1111212021:38,10_1111212121:38):50):48);","((1_1112001011:75,(3_0112111211:50,(2_1112111211:25,4_1112111211:25)2:25)2:25)1:25,((8_2110211021:60,(7_2110211021:40,(5_2110211021:20,6_2110211021:20)2:20)2:20)1:20,(9_1111212021:40,10_1111212121:40)2:40)2:20)Root;"
67,s3_c5_data,48,10,"((((1_0201000201:28,2_0101000000:28):60,(3_0201010201:30,4_0201010201:30):58):59,(5_2122211021:27,6_2202011221:27):120):49,((7_0112210021:6,8_0112211021:6):65,(9_0100011021:13,10_0112011021:13):58):125);","((6_2202011221:80,(2_0101000000:60,(1_0201000201:40,(3_0201010201:20,4_0201010201:20)2:20)2:20)2:20)1:20,((9_0100011021:37.5,10_0112011021:37.5)1:37.5,(5_2122211021:50,(7_0112210021:25,8_0112211021:25)2:25)2:25)2:25)Root;"
68,s4_c1_data,49,8,"(((9_2121212001:6,10_2121212001:6):46,(11_2121211201:11,12_2121211201:11):41):50,((13_2122111221:11,14_2122111221:11):43,(15_2122111221:11,16_2122111221:11):43):48);","(((9_2121212001:0.2878644867,10_2121212001:0.2878644867):0.1674830733,(11_2121211201:0.2903423032,12_2121211201:0.2903423032):0.1650052568):0.2321689063,(13_2122111221:0.2900053435,(14_2122111221:0.2900053435,(15_2122111221:0.2900053435,16_2122111221:0.2900053435):0):0):0.3975111228);"
69,s4_c10_data,50,12,"((4_1111111111:43,(5_1111111111:2,6_1111111111:2):41):137,(((7_1111111001:8,8_1111111111:8):75,10_1111111111:83):48,(((14_2111111111:2,15_2111111111:2):39,16_2111111111:41):42,((18_2111111111:0,19_2111111111:0):37,21_2111111111:37):46):48):49);","(((21_2111111111:71.42857143,(19_2111111111:57.14285714,(18_2111111111:42.85714286,(16_2111111111:28.57142857,(14_2111111111:14.28571429,15_2111111111:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(10_1111111111:68.57142857,(8_1111111111:51.42857143,(6_1111111111:34.28571429,(4_1111111111:17.14285714,5_1111111111:17.14285714)2:17.14285714)2:17.14285714)2:17.14285714)2:17.14285714)1:14.28571429,7_1111111001:100)Root;"
70,s4_c3_data,51,14,"((((9_2112012221:1,10_2112012221:1):57,(11_2112212221:8,12_2112212221:8):50):66,((13_1122012001:1,14_1122012001:1):55,15_0122012201:57):68):87,((16_0122012000:54,(17_0122012000:0,18_0122012000:0):53):64,((19_2112212211:9,20_2112212211:9):50,(21_2112202201:13,22_2112212211:13):46):58):94);","(((9_2112012221:41.66666667,10_2112012221:41.66666667)1:41.66666667,(21_2112202201:66.66666667,((11_2112212221:25,12_2112212221:25)1:25,(22_2112212211:33.33333333,(19_2112212211:16.66666667,20_2112212211:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((18_0122012000:50,(16_0122012000:25,17_0122012000:25)2:25)1:25,(15_0122012201:50,(13_1122012001:25,14_1122012001:25)2:25)2:25)2:25)Root;"
71,s4_c4_data,52,5,"((3_1111111011:18,4_1111111111:18):109,((5_2111111211:20,6_2111111211:20):44,7_2111111121:64):63);","((3_1111111011:0.3697175289,4_1111111111:0.3697175289):0.1268464038,((5_2111111211:0.305932684,6_2111111211:0.305932684):0.1325650894,7_2111111121:0.4384977735):0.05806615929);"
74,s4_c7_data,53,4,"((1_1111111111:26,2_1111111111:26):153,(10_1111111111:49,11_1111111001:49):131);","((1_1111111111:0.3125,(2_1111111111:0.3125,10_1111111111:0.3125):0):0.1210256504,11_1111111001:0.4335256504);"
75,s5_c1_data,54,9,"((1_0111111111:110,((3_1110111101:23,4_1111211101:23):39,(5_1111111101:18,6_1111111101:18):44):48):53,((7_2112211201:15,8_2112111121:15):40,(9_2110011000:9,10_2110011000:9):46):108);","(((1_0111111111:0.4905527259,(3_1110111101:0.4319285848,(4_1111211101:0.3710043078,(5_1111111101:0.3085834101,6_1111111101:0.3085834101):0.06242089774):0.06092427695):0.05862414114):0.2170897393,(9_2110011000:0.2892944704,10_2110011000:0.2892944704):0.4183479948):0.04332546735,(7_2112211201:0.583437833,8_2112111121:0.583437833):0.1675300995);"
76,s5_c10_data,55,26,"(((((1_0000000221:10,2_0000000221:10):42,(3_0000000221:10,4_0000000221:10):42):47,(5_0000010021:7,6_0000010021:7):92):56,((13_0112211221:24,14_0112211221:24):46,(15_0112212221:15,16_0112212221:15):55):85):50,((((17_2112011221:31,18_2112011221:31):45,(19_2112011221:30,20_2112011221:30):46):44,((21_2112011221:32,22_2112011221:32):44,(23_2112011221:32,24_2112011221:32):44):44):38,(((25_2112210000:21,26_2112000201:21):44,(27_2112211201:20,28_2112211201:20):45):50,((29_2000212000:22,30_2000212000:22):44,(31_2000212021:21,32_2000212021:21):45):49):43):47);","((((5_0000010021:33.33333333,6_0000010021:33.33333333)1:33.33333333,(4_0000000221:50,(3_0000000221:33.33333333,(1_0000000221:16.66666667,2_0000000221:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,(25_2112210000:62.5,((29_2000212000:20.83333333,30_2000212000:20.83333333)1:20.83333333,(31_2000212021:20.83333333,32_2000212021:20.83333333)2:20.83333333)2:20.83333333)2:20.83333333)1:16.66666667,(((15_0112212221:30,16_0112212221:30)1:30,(13_0112211221:30,14_0112211221:30)2:30)1:30,((24_2112011221:70,(23_2112011221:60,(22_2112011221:50,(21_2112011221:40,(20_2112011221:30,(19_2112011221:20,(17_2112011221:10,18_2112011221:10)2:10)2:10)2:10)2:10)2:10)2:10)1:10,(26_2112000201:53.33333333,(27_2112211201:26.66666667,28_2112211201:26.66666667)2:26.66666667)2:26.66666667)2:10)2:10)Root;"
77,s5_c11_data,56,8,"(((1_0222000000:20,2_0222000000:20):41,(3_0222000000:19,4_0222000000:19):42):39,((5_0112000000:13,6_0112000000:13):40,(7_0122000000:10,8_0122000000:10):43):47);","(((1_0222000000:0.2813693707,(2_0222000000:0.2813693707,(3_0222000000:0.2813693707,4_0222000000:0.2813693707):0):0):0.05052836498,(7_0122000000:0.2835245242,8_0122000000:0.2835245242):0.04837321142):0.04745657981,(5_0112000000:0.2859696642,6_0112000000:0.2859696642):0.09338465124);"
78,s5_c12_data,57,27,"(((1_0122210221:8,2_0122210221:8):43,(3_0212210221:2,4_0212210221:2):49):160,(((((5_2102120202:11,6_2102120202:11):38,(7_2102120202:10,8_2102120202:10):39):40,(9_2102000000:52,12_2202000000:52):37):38,(((13_2102212202:10,14_2102212202:10):34,(15_2102212101:2,16_2102212101:2):42):40,(17_2102210101:45,(19_2102210101:6,20_2102210101:6):39):39):43):42,(((21_2100001201:39,22_2100001201:39):45,(23_0100001201:35,24_1100001201:35):49):43,(((25_2100002001:6,26_2100002001:6):36,(27_2100002001:2,28_2100002001:2):40):39,(29_2100002001:37,30_2100002001:37):45):45):43):41);","(((3_0212210221:33.33333333,4_0212210221:33.33333333)1:33.33333333,(1_0122210221:33.33333333,2_0122210221:33.33333333)2:33.33333333)1:33.33333333,(((8_2102120202:53.33333333,(7_2102120202:35.55555556,(5_2102120202:17.77777778,6_2102120202:17.77777778)2:17.77777778)2:17.77777778)1:17.77777778,((20_2102210101:35.55555556,(17_2102210101:17.77777778,19_2102210101:17.77777778)2:17.77777778)1:17.77777778,((13_2102212202:17.77777778,14_2102212202:17.77777778)1:17.77777778,(15_2102212101:17.77777778,16_2102212101:17.77777778)2:17.77777778)2:17.77777778)2:17.77777778)1:17.77777778,(((21_2100001201:25.92592593,22_2100001201:25.92592593)1:25.92592593,(24_1100001201:25.92592593,23_0100001201:25.92592593)2:25.92592593)1:25.92592593,((30_2100002001:55.55555556,(29_2100002001:44.44444444,(28_2100002001:33.33333333,(27_2100002001:22.22222222,(25_2100002001:11.11111111,26_2100002001:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)1:11.11111111,(9_2102000000:33.33333333,12_2202000000:33.33333333)2:33.33333333)2:11.11111111)2:11.11111111)2:11.11111111)Root;"
79,s5_c13_data,58,8,"(1_2112211101:212,(((2_2112001211:6,7_2112001211:6):89,(8_1111111101:6,13_1111111111:6):89):54,(14_1112111111:50,(15_1111111111:7,16_1111111111:7):43):99):62);","((1_2112211101:0.5447283585,(8_1111111101:0.4288803684,((13_1111111111:0.3125,(15_1111111111:0.3125,16_1111111111:0.3125):0):0.0544371119,14_1112111111:0.3669371119):0.06194325647):0.1158479901):0.1181833756,(2_2112001211:0.2978257449,7_2112001211:0.2978257449):0.3650859892);"
80,s5_c2_data,59,12,"((((1_1111111111:21,2_1111111111:21):43,(3_1111111211:22,4_1111111211:22):42):56,((5_1111111211:26,6_1111111211:26):42,7_1111111211:68):52):47,((9_1011111011:22,10_1111111011:22):98,((13_1111111111:28,14_1111111111:28):36,15_1111111111:64):56):47);","(((7_1111111211:66.66666667,(6_1111111211:50,(5_1111111211:33.33333333,(3_1111111211:16.66666667,4_1111111211:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,(15_1111111111:66.66666667,(14_1111111111:50,(13_1111111111:33.33333333,(1_1111111111:16.66666667,2_1111111111:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,(9_1011111011:50,10_1111111011:50)2:50)Root;"
81,s5_c3_data,60,26,"(((((1_0122212021:5,2_0122212021:5):37,(3_0122212021:4,4_0022212021:4):38):38,((5_0122211021:3,6_0122211021:3):34,(7_0122211011:2,8_0122211011:2):35):43):83,(((9_0111211021:25,10_0111001001:25):44,12_2110111001:69):53,((13_2111211221:26,14_2111111221:26):41,(15_2111111221:26,16_2111111221:26):41):55):42):47,((((17_2112111111:5,18_0012111111:5):76,23_2110000000:82):48,((24_1011211101:4,25_1112211101:4):38,(26_1111211221:9,27_1111011221:9):33):87):40,(((28_0111111221:25,29_1111111221:25):40,31_0101111121:65):58,33_1112212121:123):47):41);","((((4_0022212021:51.42857143,(3_0122212021:34.28571429,(1_0122212021:17.14285714,2_0122212021:17.14285714)2:17.14285714)2:17.14285714)1:17.14285714,((5_0122211021:22.85714286,6_0122211021:22.85714286)1:22.85714286,(7_0122211011:22.85714286,8_0122211011:22.85714286)2:22.85714286)2:22.85714286)1:17.14285714,(((28_0111111221:38.0952381,(27_1111011221:19.04761905,29_1111111221:19.04761905)2:19.04761905)1:19.04761905,((16_2111111221:28.57142857,(14_2111111221:14.28571429,15_2111111221:14.28571429)2:14.28571429)1:14.28571429,(13_2111211221:21.42857143,26_1111211221:21.42857143)2:21.42857143)2:14.28571429)1:14.28571429,((9_0111211021:28.57142857,31_0101111121:28.57142857)1:28.57142857,((18_0012111111:21.42857143,17_2112111111:21.42857143)1:21.42857143,(33_1112212121:28.57142857,(24_1011211101:14.28571429,25_1112211101:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(10_0111001001:66.66666667,(12_2110111001:33.33333333,23_2110000000:33.33333333)2:33.33333333)2:33.33333333)Root;"
84,s5_c6_data,61,3,"(1_1211212201:110,(3_2112010221:18,4_2112010221:18):92);","(1_1211212201:0.7607639621,(3_2112010221:0.2882287852,4_2112010221:0.2882287852):0.472535177);"
85,s5_c7_data,62,31,"(((3_0112211221:21,4_2222212000:21):171,(((10_2111212121:8,11_2111212121:8):39,(12_2111212121:14,13_2111212121:14):33):46,17_2121212221:93):98):19,((((20_2110211201:21,21_2110211201:21):39,(22_2110211201:17,23_2110211201:17):43):46,((24_2212212221:18,25_2212212221:18):45,(26_2112212221:19,27_2112212221:19):44):43):87,((((32_0012211000:13,33_0012211000:13):39,(34_0012211000:12,35_0012211000:12):40):49,((36_0012211000:11,37_0012211000:11):41,(38_0012211000:11,39_0012211000:11):41):49):47,(((40_0112210000:15,41_0112210000:15):44,(42_0112211221:21,43_0112211221:21):38):45,((44_0112211221:19,45_0112211221:19):40,(46_0112212221:19,47_0112212221:19):40):45):44):45):17);","((((46_0112212221:36,47_0112212221:36)1:36,((43_0112211221:36,(3_0112211221:18,42_0112211221:18)2:18)1:18,(44_0112211221:27,45_0112211221:27)2:27)2:18)1:18,((39_0012211000:70,(38_0012211000:60,(37_0012211000:50,(36_0012211000:40,(35_0012211000:30,(34_0012211000:20,(32_0012211000:10,33_0012211000:10)2:10)2:10)2:10)2:10)2:10)2:10)1:10,(40_0112210000:40,41_0112210000:40)2:40)2:10)1:10,((23_2110211201:65.625,(22_2110211201:43.75,(20_2110211201:21.875,21_2110211201:21.875)2:21.875)2:21.875)1:21.875,(4_2222212000:75,(((24_2212212221:20.83333333,25_2212212221:20.83333333)1:20.83333333,(26_2112212221:20.83333333,27_2112212221:20.83333333)2:20.83333333)1:20.83333333,(17_2121212221:50,(13_2111212121:37.5,(12_2111212121:25,(10_2111212121:12.5,11_2111212121:12.5)2:12.5)2:12.5)2:12.5)2:12.5)2:12.5)2:12.5)2:12.5)Root;"
86,s5_c9_data,63,6,"(((1_2021020221:30,2_2021020221:30):48,3_2011020221:78):53,((5_1222212201:28,6_1222212201:28):55,7_1222012201:84):48);","(((1_2021020221:0.2790007216,2_2021020221:0.2790007216):0.03749373758,3_2011020221:0.3164944592):0.4584742972,((5_1222212201:0.2842332355,6_1222212201:0.2842332355):0.08011311964,7_1222012201:0.3643463552):0.4106224012);"
87,s6_c1_data,64,8,"(((1_2122212001:30,2_2102212001:30):48,(3_2022212001:18,4_2012212001:18):60):42,((5_2112212001:24,6_2102212001:24):50,(7_2122212001:19,8_2122212001:19):55):46);","(((1_2122212001:0.2846266759,(7_2122212001:0.2846266759,8_2122212001:0.2846266759):0):0.1148807932,((2_2102212001:0.2866415177,6_2102212001:0.2866415177):0.05773940357,5_2112212001:0.3443809213):0.05512654787):0.04642608877,(3_2022212001:0.3338497889,4_2012212001:0.3338497889):0.112083769);"
88,s6_c2_data,65,3,"(6_2102001201:132,(7_0111211211:82,10_0111111001:81):50);","(6_2102001201:0.8075302242,(7_0111211211:0.5501576261,10_0111111001:0.5501576261):0.2573725981);"
89,s6_c3_data,66,22,"(((((1_1111101011:7,2_1111111111:7):42,(3_1111111211:13,4_1111111211:13):36):45,(6_1111111121:43,7_2111111111:44):51):48,((8_1111111111:53,(9_1111111111:8,10_1111111111:8):44):47,(12_1111111101:54,14_1111111111:54):45):43):50,(((16_1111111111:46,17_1111110111:47):50,(18_1111111111:54,(19_1111111111:3,20_1111111111:3):50):43):44,(((21_1111111111:6,22_1111111111:6):42,(23_1111111111:1,24_1111111111:1):47):47,(25_1111111111:44,28_1111111111:44):51):45):52);","(1_1111101011:100,((3_1111111211:46.875,4_1111111211:46.875)1:46.875,(6_1111111121:87.5,(12_1111111101:81.25,(17_1111110111:75,(7_2111111111:68.75,((21_1111111111:56.25,(20_1111111111:50,(19_1111111111:43.75,(18_1111111111:37.5,(16_1111111111:31.25,(14_1111111111:25,(10_1111111111:18.75,(9_1111111111:12.5,(2_1111111111:6.25,8_1111111111:6.25)2:6.25)2:6.25)2:6.25)2:6.25)2:6.25)2:6.25)2:6.25)2:6.25)1:6.25,(28_1111111111:50,(25_1111111111:37.5,(24_1111111111:25,(22_1111111111:12.5,23_1111111111:12.5)2:12.5)2:12.5)2:12.5)2:12.5)2:6.25)2:6.25)2:6.25)2:6.25)2:6.25)2:6.25)Root;"
91,s7_c2_data,67,9,"((((1_0112212221:2,2_0112212221:2):44,4_0112212221:46):43,(5_0112212221:50,(7_0112212221:12,8_0112212221:12):38):39):48,(9_2122212221:89,(11_2112212021:36,12_2112212221:36):53):49);","(((1_0112212221:0.2859065337,(2_0112212221:0.2859065337,(4_0112212221:0.2859065337,(5_0112212221:0.2859065337,(7_0112212221:0.2859065337,8_0112212221:0.2859065337):0):0):0):0):0.1658359198,(9_2122212221:0.3491750942,12_2112212221:0.3491750942):0.1025673593):0.06049317458,11_2112212021:0.5122356281);"
93,s7_c5_data,68,13,"((((3_0100210021:42,(4_2110210001:0,5_0110210001:0):41):57,((6_2212211221:5,7_2220211021:5):43,(8_0212211021:8,9_2220211021:8):40):50):69,((10_0111211221:7,11_0111211221:7):48,(12_0111211221:10,13_0110211221:10):45):112):44,(14_0100000101:29,15_0000000101:29):183);","(((14_0100000101:37.5,15_0000000101:37.5)1:37.5,(3_0100210021:50,(4_2110210001:25,5_0110210001:25)2:25)2:25)1:25,((13_0110211221:60,(12_0111211221:40,(10_0111211221:20,11_0111211221:20)2:20)2:20)1:20,((7_2220211021:26.66666667,9_2220211021:26.66666667)1:26.66666667,(6_2212211221:26.66666667,8_0212211021:26.66666667)2:26.66666667)2:26.66666667)2:20)Root;"
95,s8_c1_data,69,12,"(((1_2000000021:47,2_2000000021:47):94,((3_2100000221:12,4_2100000221:12):45,(5_2100000221:7,6_2100000221:7):50):83):46,(((7_0010012200:17,8_0010012200:17):57,(9_0000212200:21,10_0000212200:21):53):63,(11_0000212201:18,12_0000212201:18):120):49);","(((1_2000000021:40,2_2000000021:40)1:40,(6_2100000221:60,(5_2100000221:40,(3_2100000221:20,4_2100000221:20)2:20)2:20)2:20)1:20,((7_0010012200:37.5,8_0010012200:37.5)1:37.5,((11_0000212201:25,12_0000212201:25)1:25,(9_0000212200:25,10_0000212200:25)2:25)2:25)2:25)Root;"
97,s8_c3_data,70,15,"((((1_0111112221:12,2_0111112221:12):41,(3_0111112221:13,4_0111112221:13):40):46,((5_1110012221:7,6_1110012021:7):46,(7_0110112221:8,8_0110112221:8):45):46):52,(((9_2211012221:2,10_2211012221:2):43,11_2211012221:46):45,((12_2111010121:1,13_2111010121:1):41,(14_2111010121:0,15_2111010121:0):42):48):61);","(((5_1110012221:41.66666667,6_1110012021:41.66666667)1:41.66666667,((7_0110112221:33.33333333,8_0110112221:33.33333333)1:33.33333333,(4_0111112221:50,(3_0111112221:33.33333333,(1_0111112221:16.66666667,2_0111112221:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((11_2211012221:53.33333333,(9_2211012221:26.66666667,10_2211012221:26.66666667)2:26.66666667)1:26.66666667,(15_2111010121:60,(14_2111010121:40,(12_2111010121:20,13_2111010121:20)2:20)2:20)2:20)2:20)Root;"
